ID,Movie Name,Rating,runtime_minutes,Runtime,Genre,Metascore,Plot,Directors,Stars,Votes,Gross,Link,Votes Percent Rank,Rating Percent Rank,Significance Score
5810,Mr. & Mrs. Smith,6.5,120,120 min,"Action, Comedy, Crime",55,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.,"['Doug Liman', 'Brad Pitt', 'Angelina Jolie', 'Adam Brody', 'Vince Vaughn']","['Brad Pitt', 'Angelina Jolie', 'Adam Brody', 'Vince Vaughn']",513063,186336279,https://www.imdb.com/title/tt0356910/,0.971,0.385,1.356
6173,Lucy,6.4,89,89 min,"Action, Sci-Fi, Thriller",61,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.","['Luc Besson', 'Scarlett Johansson', 'Morgan Freeman', 'Choi Min-sik', 'Amr Waked']","['Scarlett Johansson', 'Morgan Freeman', 'Choi Min-sik', 'Amr Waked']",512972,126663600,https://www.imdb.com/title/tt2872732/,0.971,0.344,1.315
4882,Charlie and the Chocolate Factory,6.7,115,115 min,"Adventure, Comedy, Family",72,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.","['Tim Burton', 'Johnny Depp', 'Freddie Highmore', 'David Kelly', 'Helena Bonham Carter']","['Johnny Depp', 'Freddie Highmore', 'David Kelly', 'Helena Bonham Carter']",497852,206459076,https://www.imdb.com/title/tt0367594/,0.97,0.469,1.439
6221,Hancock,6.4,92,92 min,"Action, Comedy, Drama",49,Hancock is a superhero whose ill-considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,"['Peter Berg', 'Will Smith', 'Charlize Theron', 'Jason Bateman', 'Jae Head']","['Will Smith', 'Charlize Theron', 'Jason Bateman', 'Jae Head']",495847,227946274,https://www.imdb.com/title/tt0448157/,0.969,0.344,1.313
4934,The Wolverine,6.7,126,126 min,"Action, Sci-Fi",61,"Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants.","['James Mangold', 'Hugh Jackman', 'Will Yun Lee', 'Tao Okamoto', 'Rila Fukushima']","['Hugh Jackman', 'Will Yun Lee', 'Tao Okamoto', 'Rila Fukushima']",478403,132556852,https://www.imdb.com/title/tt1430132/,0.968,0.469,1.437
5380,The Hunger Games: Mockingjay - Part 1,6.6,123,123 min,"Action, Adventure, Sci-Fi",64,"Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.","['Francis Lawrence', 'Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson']",472708,337135885,https://www.imdb.com/title/tt1951265/,0.967,0.426,1.393
5343,Divergent,6.6,139,139 min,"Action, Adventure, Mystery",48,"In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.","['Neil Burger', 'Shailene Woodley', 'Theo James', 'Kate Winslet', 'Jai Courtney']","['Shailene Woodley', 'Theo James', 'Kate Winslet', 'Jai Courtney']",472300,150947895,https://www.imdb.com/title/tt1840309/,0.967,0.426,1.393
5758,Star Wars: Episode IX - The Rise of Skywalker,6.5,141,141 min,"Action, Adventure, Fantasy",53,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.","['J.J. Abrams', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Adam Driver']","['Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Adam Driver']",468815,515202542,https://www.imdb.com/title/tt2527338/,0.967,0.385,1.352
6953,Indiana Jones and the Kingdom of the Crystal Skull,6.2,122,122 min,"Action, Adventure",65,"In 1957, Indiana Jones becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.","['Steven Spielberg', 'Harrison Ford', 'Cate Blanchett', 'Shia LaBeouf', 'Karen Allen']","['Harrison Ford', 'Cate Blanchett', 'Shia LaBeouf', 'Karen Allen']",466614,317101119,https://www.imdb.com/title/tt0367882/,0.967,0.265,1.232
9317,Twilight,5.3,122,122 min,"Drama, Fantasy, Romance",56,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.","['Catherine Hardwicke', 'Kristen Stewart', 'Robert Pattinson', 'Billy Burke', 'Sarah Clarke']","['Kristen Stewart', 'Robert Pattinson', 'Billy Burke', 'Sarah Clarke']",472135,192769854,https://www.imdb.com/title/tt1099212/,0.967,0.052,1.019
